text_akhir,polarity,label_ml
aplikasi versi baru lambat banget fitur halaman aplikasi lambat iika banding bank digital ukur beda koneksi internet lancar stabil aplikasi bank digital aplikasi blu bca digital lambat fitu qris sebal lambat mual proses buka aplikasi sqan kode qr lambat,negative,negative
fiturnya keren si akuin sayang ui lelet saran si utama fungsional cantik tampil transaksi cepat tunggu proses loading transfer notifikasi muncul loadingmunculin bukti transfer hasil luama banget moga saran bantu,negative,negative
aplikasi blu bagus admin bulan kartu atm app blu ngerekam interaksi aplikasi log error app klik rada delay highlight jadi opsional dikit loading buka qris kamera tunggu lumayan tolong baik,negative,negative
bikin kesel blu aplikasi lelet transaksi nyaman bikin kesel verifikasi muka sistem baca ringan simple kesel blu,negative,negative
kasih bintaang engga cocok hape kentang level entry coba berulangkali scan wajah susah banget moga lekas ramah hp jenis entry level tabung blu,positive,positive
aplikasi blu tawar desain uiux modern simpel ramah guna performa optimal perangkat poco profesional prosesor mediatek hio guna alami ketidakresponsifan lag aplikasi jalan lambat sebab bug kurang optimasi prosesor maksimal dampak alam guna kembang baik aplikasi blu jalan lancar sluruh prgkt,positive,negative
lumayan bagus minus terima saldo paypal blu jago jenius moga cepat tingkat terima saldo paypal,positive,positive
improve cepat cepat banget oiya bug annoying halaman sukses bayar ganti app session app blu habis blu diapaapain mental halaman login klik beranda,neutral,neutral
ide aplikasi bagus platform ganti pakai flutter biar aplikasi jalan ringan cepat asa pakai webview malu iklan usaha server batas storagenya supporting teknis,negative,negative
aplikasi lemottidak login tunggu minggu minggu informasi kantor sulit org aplikasi digital transaksi mudahpakai aplikasi blu masuk login tolong baik keluh guna banyaktolong dengar,negative,negative
tolong perhati aplikasi nyamain aplikasi shoope berat lot update oktober aplikasi buka lagging kadang normal tolong ekosistem tingkat transaksi gegara pindah menu aplikasi kadang cepat kadang ngelag,negative,negative
aplikasi blu mobile lambat lelet transaksi tolong baik cepat update sistem aplikasi blu bca digital mudah nyaman terima kasih,positive,positive
masuk tim blu banner promo dpn app tombol login hapus deh makan transaksi kali pencet seemless buka menu qris langsung pinsidik buka qris balik oke turut sbg user langsung buka app langsung autentikasi sidik jaripin banner kasih halaman utama menu qris kawan update revisi bintang,positive,positive
appnya berat login kode tarik tunai beratlebih force close app rilis samatolong update ringan support hp endentry level saran tarik setor tunai kartu debit baik gratis,positive,positive
pakai fitur lumayan lengkap aplikasi responsif dr buka app loading ads scan biometrik homepage loadingnya buka notif loading lambat lag,negative,negative
bca ok bank digital kuota gratis transfer biar kalah aman ragu best,negative,positive
bagus banget apk lelet ram hp penuh alhamdulillah lancarrr apk moga rezeki amiinnn trus enak apk tuh pisah pisah uang,positive,negative
jelekk banget hp reset musibah masuk ulang ambil uang ribett bilang wajah sesuai lahh akun blokir lahhh maksud coba duit situ mati lapar lahh beli makan sialannn,negative,negative
update bayar shopee hilang cek via blu tolong kembali,negative,negative
error buka aplikasinyagmn tuh capek nunggunya deh update,negative,negative
minggu aplikasi error melulu deh kali update update transaksi ganggu,negative,negative
apk blu loading upgrade mentok dibtampilan,negative,negative
pakai blu error alhamdullilah favorit nyimpen simpan tingkat biar pakai blu transaksi,negative,negative
bjir verifikasi wajah berat aplikasi habis capek ngulang melulu bca mobile mudah,negative,negative
daftra screen lock erti hp fasilitas model pin,negative,negative
petama kali coba langsung dipake nabung harap blu ukur kompres kurang ukur aplikasi berat pakai lancar moga lancar bintang baik ukur sesuai,positive,positive
yaampun apl restart muluu udh uninstall install ttep bisaa masuk tolong lahhhhh bikin kecewa gin udh pakai blu harap lelet,negative,negative
batal rekening video call suara ulang telepon sudah pasang headset telepon,positive,negative
blu bagus segi administrasi proses daftar buka rekening bintang developer mobile guna aplikasi bilang berat makan resource memory rendering tampil istilah animasi design appsnya pukau depan harap,negative,negative
minggu cek kala topup ewallet shopee pay via virtual account kali gratis topup shopeenya ewallet x,neutral,neutral
loading app berat buka halaman loading buka halaman app perban pakai loading berat developer mohon bagus apps ui tinggal tambah polos cma hurup doang,negative,negative
pakai blu serasa atm pribadi dg rekening saving post mudah saving cash flow,positive,positive
update login akaun kali logn keluar sendri apa keluar,negative,negative
pakai blutapi lelet berat baik ubah cerai blu pindah aladin baik ubah depan uninstall apk dr hp,negative,positive
sebenernya aplikasi blu udh bagus cmn sayangy ngelag klu log aktifitas ngelag jgamohon untk tingkat aplikasi bluyterimakasih,negative,negative
baik bug mana buka aplikasi aplikasi banka tetangga exis kirim kode verifikasi email lambat masuk kode verifikasi tsb laku menit tolong baik,negative,negative
baharu bagus kendala maaf moga saran investasi nominal investasi platform error lihat nominal tekan tombol reflas gas tombol error moga,negative,negative
nasabah blu mudah paksa tinggal blu pindah orange kurang aplikasi lelet lambat iphone baru android flagship,negative,negative
keluh hp forma aplikasi otp daftar login mudahcepat proses lambat wajar lag vidcall cs pilih nomor rekening bijak timbang khusus langsung level blupro newbie custom norek terima kasih mudah terima kasih bca grup berkah,positive,positive
pakai apk blu bca kendala aman transaksi lancar transfer lancar moga amanah,positive,positive
alam pakai aplikasi bagus sayang animasi loading tunggu,negative,negative
suka banget pakai blu pindah bank belah berat apk aplikasi mudah tambah admin transaksi admin bulan,positive,positive
rekomendasi butuh rekening biaya bulan biaya simple mudah,neutral,neutral
loading aplikasi lelet update update bikin aplikasi kaya jalan mesti pindah jaring internet login,negative,negative
verifikasi operator antri antri seringkali putus vc hubung mohon baik internet pribadi lancar lancar,positive,negative
suka banget pakai aplikasi sayang bayar keluarin qris scan imaret amart bayar butuh qris moga blu keluarin qris bayar,negative,negative
lamalama muak update suka suruh update update buka aplikasijengkel adik hp memo penuh,negative,neutral
mohon maaf ko proses banget nabung accord pas buka aplikasi suruh daftar ulang aneh banget,negative,negative
hard complain dengar nyaman banget pakai blu gamau alih untung pakai,positive,positive
suruh saldo blu setor gratis atm bca batas trus nambah saldo transfer bca bayar pindah,negative,negative
bug versi baru transfer rekening bca pakai bi fast kena biaya admin tolong baik bug bca ko kena biaya admin,negative,negative
bad good buka rekening ribu tawar pukau extra pinjamanternyata tolak alas okterimakasih,negative,negative
pas telpon cs bikin rekening kali respon tunggu jam engga muncul cs,positive,positive
top shoppepay jam mlm smpe pagi statusntnya proses terussaldo deh potong lgsdah hbungi cs cma verifikasi data doangtetep suruh nunggugak da bantu sekalingabisin pulsa doang,negative,negative
daftar mandiri upload ktp gabisa gambar terang potong gabisa gagal registrasi,negative,negative
mudah urus digital good performance transaksi bikin urus lancarr neng buka cek saldo,positive,positive
ngak masuk akun suruh foto hadap hadap kiri ulang x minta wajah lingkar jelas lingkar djdchdhdbdue kesal,negative,negative
ok suka kadang suka putus koneksi sinyak oke wifi server mohon tingkat terimakasih,positive,positive
top shopee pay gabisa tolong dibenerin aplikasi dikit error pakai blubca gitu melulu kendala,negative,negative
enak kartu biaya admin ngebug lamaaa banget,positive,positive
oke si fiturnya loadingnya parah lelet banget smga baik biar buka cpt kasih bintang,neutral,neutral
rumit prosedur langsung transaksi lancar mudah daftar bintang kurang harga respon cepat lancar daftar,positive,positive
app berat banget gitu banyak pemrosesan rasa berat app,negative,negative
aplikasi bank digital bagus mudah pakai lelet bebas biaya admin bulan terima kasih blu,negative,negative
ajar aplikasi blu bantu transaksi,negative,negative
aplikasi jalan lambat berat notifikasi jaring putus jaring internet stabil moga cepat tim blu bca digital baik terima kasih,positive,positive
kadang malam suka pakai suka bayar pakai va ok,positive,positive
allhammdulilah neng banget aplikasi blu bca usaha kecil bantu banget aplikasi kalok biaya tranfer bank ewalet terus gerat gitu makkasi blu bca,negative,negative
kadang login masuk gagal gin acara anda transaksi desak lelet mohon baik kayak tenaga mumpuni beda dng aplikasi bank belah cepat banget login gagal,negative,negative
aplikasi berat banget slow load coba kembang sisi loadingnya,positive,negative
simple bagushanya suka lambat transaksi buka akun bluenya,positive,positive
kreeeen amannn jangkau mudah hamoir apk dana proteck aman jamin like poko rekomen banget kalok nabung pakai bisnis onnline cari ketemu dngan apk ter amanah,positive,positive
tolong optimal aplikasi kadang lelet banget transaksi,positive,positive
aplikasi c crash melulu masak verifikasi wajah jam gagal kamera woooeeeyyyyy,negative,negative
mantap benerrr transaksi mudah simple recommend bnget deh pokok,positive,positive
kemarin pas pakek apknya bagus banget ubah bingung kakak login yaaaaaa mohon bantu,positive,positive
linked tokocrypto top tko ulang kali kali kondisi,positive,positive
bca pilih baik nabung takut resiko nyaman banget pakai blu bca,positive,positive
verifikasi wajah gagal hp goyang tolong baik,negative,negative
lambat responsif loading mohon benah,positive,positive
aplikasi bagus blu hadir akun blu baru alam akun bank tawar fasilitas baik layan baik ragam bunga dapat syarat tabung investasi tabung investasi bagus apa iklan hasil nol rekomen blu pribafi nabung gopay ovo manfaat,negative,negative
fiturnya baguscuma lelet muter mulucoba bikin satset,neutral,neutral
semenjak update isi flash bca virtual account bayar parah banget,negative,negative
gila lelet banget buka aplikasi tunggu bug melulu berat aplikasi,negative,negative
depan login aplikasi transaksi cepat baik sistem,negative,negative
udh daftar bum accord adminnya udh daftarin akun,negative,negative
aju pinjam tolak bi checking aju,negative,neutral
amit amit ih lelet najis fitur fitur tuh buang pakai aplikasi buru buru bikin kesel,negative,negative
aplikasi bagus maret loadingnya mentok logo min blu,negative,negative
tolong aplikasiny smooth responsif loadingnya,positive,negative
deh apknya ngelag parah kirim uang shope saldo kurang status proses alias pending uang refund hari tb akun blokir login huhuu sayang,negative,negative
aplikasi terang background putih tolong tambah fitur mode gelap dark mode,negative,negative
coba fortfoli saham adakan menu investasi beli langsung menu investasi fortfoli kereennn,positive,positive
tolong aplikasi kecil kak biar lag buka blu,negative,negative
puas banget make blu bank jaman pokok jujur smartphone ram gb kadang lag atur profil pindah menufitur moga depan developer blu perhati issue,positive,positive
tahap video call tahap video call pencet homelalu wajah muncul suruh lagilalu antri tolonghh benah lagiii aplikasi eror benah manajemen nyaaa ribet,negative,negative
aplikasi lambat delay buka aplikasi pindah transisi menu beda apk wndr bc livin aplikasi smooth cepat,negative,negative
kurang akses blu kali relogin belit belit kali akses pin bayar qris butuh tunggu kode otp relogin overall kecuali akses belit belit moga depan baik blu bca milik potensi,negative,negative
aplikasi bagus login sesi habis login sesi habis ngulang saran baik,negative,negative
processing navigasi tolong cepat loadingnya suka tingkat kompabilitas hp jaman hp jaman maka blu bca ngelag,neutral,neutral
moga uiux optimalisasi biar cepat responnya tambahin widget qris update berat banget aplikasi worth,negative,negative
sumpah keren banget fiturnya suka blu saving atur uang debet otomatis walopun apk lambat pengaruh tabungankeuangan apk main game apa nge lag dikit pengaruh,positive,positive
kendala aku aplikasi blu hp ram ram berat pr kembang aplikasi coba ringan tarik masyarakat,neutral,negative
fitur fitur manfaat akses buka app relatif koneksi internet pada guna qris,positive,positive
min aplikasi coba ringan pakai cepat iring pakai proses menu aga jeda detik lebih menu aplikasi,negative,negative
takut bangat ular pas masuk aplikasi gambar ular ganti,negative,negative
tolong tambahin fitur qris scan muncul barcode,negative,negative
lambat klik butuh detik proses mybca lambat berat,negative,negative
maaf blu manarik transaksi bca biaya kuota gratis tahan fitur blugether belah tarik,positive,positive
sebenernya bagus pisah pisahin uang tabung gitu aplikasi berattttt banget pliss update diupdate punya,negative,negative
hati blu bca status transaksi hasil masuk trf uang kembali dengat lambat itu kembali saldo,positive,positive
buka qris buka transfer buka pembayaransuper lambat delay melulu buka youtube kenceng parah buka bank normal mudah user free admin,negative,negative
bagus keren banget apk inovasi ken tabung males bank kirim kartu debit mantaappp minus lelet dikit,negative,negative
bagus sat set bayar bayar,negative,negative
efisien transaksi berdicount transaksi terntentu good amplications,positive,positive
bantu mudah potong mahal belah,negative,negative
aplikasi bagus sebenernyaaatapi kenaapaa suka ngelagh banget dahpadahal jaring bagus,negative,negative
update melulu maju loading banget gila,negative,negative
perlu buka aplikasinyatlong sistem baik nyimpen uang ngeri,negative,negative
aplikasi bagus aplikasi lelet susah dipake buru kadang bikin males pakai aplikasi,negative,negative
oke si apk ko lelet beda apk laintolong baik,positive,positive
puas bantu fitur lengkap edukasi olah uang,positive,positive
bagus bank laninya bank mudah ribet,negative,negative
lengkap mudah paham anak muda hitung keluar pasu,negative,positive
susah banget verifikasi wajah pasti handphone goyang goyang pdhl pakai tripod gitu,negative,negative
mudah bagus aplikasi mudah,neutral,neutral
pakai aplikasi hapus sudahkarena pinjam lancar tiga tolak apalagibank digital gratis tranfer,negative,negative
aplikasi enak dipake sayang lelet banget bayar pakai qris transfer uang loadingnya,negative,negative
aplikasi bagus hidup mudahbank tal gratis trnsfer topup joss baik deh,negative,negative
tampil interfacenya tarik proses login,positive,positive
buruk banget aplikasi kyc berjamjam jelas aplikasi lambat banding kompetitor jenis,negative,negative
alas bca virtual account beda mbca transaksi valid mbca baca,positive,positive
bagus kendala bayar pakai qris transaksi hasil masuk pmbayaran,neutral,neutral
buka aplikasi loadingnya lelet tolong aplikasi cepat,negative,negative
moga blu depa qris nyabukan bayar terima dana qris,positive,positive
pakai bayar qrish notifikasi bayar,negative,negative
kesini blu ribet update logout,negative,negative
aplikasi susah tuk loginhrs bbrp x coba trus login lglemot,negative,negative
transfer bca blu bayar pakai aneh platform bca bebayar integrasi konsumen mudah pindah dana,positive,positive
bagus loadingnya banget pas dibutuhin,positive,positive
kendala kerja kendala transaksi moga bagus,positive,positive
moga blu bca update simple lelet akses,positive,positive
lumayan lancar lancar app mbanking e wallet lancar,positive,positive
contoh sea bank dongsimple ringanaplikasi perban satsetsmoga tingkat,negative,negative
aplikasi perban digital bagus ui simple gampang moga maju,negative,negative
aduh min tolong aplikasi update transaksi berat loading,negative,negative
aplikasi blu moga depan baik kurang moga bca bca blu maju depan,negative,negative
delay dlm aplikasi moga update sekian,negative,negative
bantu transaksi lainnyatapi loding buka aplikasi lelet,negative,negative
bantu mudah aman transaksi blu bcaterima kasih blu bca moga sukses,positive,positive
forma aplikasi lelet banding aplikasi perban lainnyamembuat transaksi,negative,negative
nyaman pakai blu bantu simple sat set pokok,positive,positive
lelet parah buka aplikasi kadang kadang engga heran,negative,negative
bca aplikasi mu susah akses bank alas jaring ganggu aplikasi becus,negative,negative
simple mudah pakai log transaksi cepat bebas admin,positive,positive
moga dafa jaga fitur login suruh ati screnloocl gpa support mohon f bantu tmau login ulang screen look apk nhp support please soluainya,positive,positive
pasti nyaman blu aman istri main ambil,positive,positive
aplikasi bagus gada biaya admin bulan saran si tambahin fitur bayar kode qr aplikasi kakak,negative,negative
aplikasi berat bilang ubah,negative,negative
password tambah variasi aman,positive,positive
guna mudah blu alam tabung biasaa,positive,positive
top dana masuk saldo potong komplain solusi,positive,positive
bantu bayar cepat efisien terima kasih blu bca,positive,positive
buka aplikasi lag parahhhh pdhl wifi kencenggg transferrr ngebug lamaaa banget,negative,negative
kocak setor tunai kartu gagal hp kode digit mau si blu bca untung naro duit atmnya harga mutu kualitas bobrok,positive,positive
qrish bayar alfaindomaret si perfect udh,negative,negative
layan pemberitahuan pelihara sistem pokok nyesel transaksi,negative,negative
tolong blu bca shopeepay hapus enak shopee tolong,neutral,neutral
simpel tampil tarik kini,positive,positive
akun logout sndri masuk akun buka aplikasi langsung masuk daftar,negative,negative
bagus kurang louding login transaksi tolong baik lancar transaksi,positive,positive
aplikasi blu baguss fiturfitur update mudah atur uang mahasiswi fitur blu saving tabung pribadi blu gether tabung efisien mudah positif aplikasi blu moga depan tambah fiturfitur tarik guna blu guna blu,positive,positive
loadingnya gagal jaring aplikasi jaring kencang pas butuhin transaksi coba ulang jaring,positive,positive
tolong team blu bca digital fitur qris timbul dana masuktransfer qris timbul dana keluarbayar contoh bca mobile bca tolong adain fitur guna guna bca digital teman transfer jarak bayar merchant,positive,positive
overall oke daftar verifikasi wajah susah kali susah verifikasi wajah saran scan wajah foto identitas scan wajah,negative,negative
barubaru informasi blu bca digital coba download rekening blu bca digital dg udngn r z j h b asli puas mudah transaksi kirim uang beda bank biaya admin top ewallet biaya admin trus potong bulan tarik setor tunai atm bca virtual card debit cardnya gratiss bank kirim alamat tampil aplikasi simple,positive,positive
rada lelet aplikasi tampil sudak good full virtual bank mohon kembang aplikasi pakai belanja pinjam bunga wajar,negative,negative
aman suka fitur warna khas kurang operasi aplikasi bilang berat hp kentang lebih aman nyaman,positive,positive
lelet banget sinyal lancarterlalu lambat gabisa buka loadingnya banget bikin gregetan tolong baik,positive,positive
